index,City,Date,Card Type,Exp Type,Gender,Amount
144,"Greater Mumbai, India",3-Dec-14,Signature,Bills,F,559262
145,"Bengaluru, India",1-Jul-14,Signature,Bills,F,809907
146,"Ahmedabad, India",21-Aug-14,Signature,Bills,F,428316
147,"Ahmedabad, India",5-Mar-14,Signature,Bills,F,275065
148,"Bengaluru, India",20-Apr-14,Silver,Bills,F,845653
149,"Ahmedabad, India",20-Nov-13,Signature,Bills,F,236296
150,"Bengaluru, India",25-Sep-14,Signature,Bills,F,440572
151,"Ahmedabad, India",6-Feb-15,Gold,Bills,F,478115
152,"Bengaluru, India",26-Oct-13,Gold,Bills,F,897621
153,"Greater Mumbai, India",6-May-15,Signature,Bills,F,554281
154,"Delhi, India",30-Sep-14,Silver,Bills,F,245452
155,"Delhi, India",17-Jan-14,Platinum,Bills,F,365045
156,"Greater Mumbai, India",11-Jan-15,Gold,Bills,F,496047
157,"Bengaluru, India",11-Feb-15,Silver,Bills,F,466814
158,"Bengaluru, India",10-Nov-14,Gold,Bills,F,835177
159,"Delhi, India",12-Jan-15,Silver,Bills,F,219698
160,"Bengaluru, India",18-Oct-14,Silver,Bills,F,784541
161,"Delhi, India",25-Oct-13,Signature,Bills,F,576994
162,"Bengaluru, India",15-May-15,Gold,Bills,F,464663
163,"Bengaluru, India",3-May-14,Platinum,Bills,F,380270
164,"Ahmedabad, India",2-Oct-14,Silver,Bills,F,772082
165,"Delhi, India",9-Apr-15,Gold,Bills,F,230853
166,"Bengaluru, India",6-Oct-13,Signature,Bills,F,677654
167,"Greater Mumbai, India",5-Feb-14,Signature,Bills,F,929247
168,"Ahmedabad, India",9-Apr-15,Platinum,Bills,F,851374
169,"Ahmedabad, India",19-Jan-14,Platinum,Bills,F,637600
170,"Greater Mumbai, India",9-Nov-13,Platinum,Bills,F,681749
171,"Delhi, India",25-Mar-14,Silver,Bills,F,847958
172,"Greater Mumbai, India",18-Feb-14,Gold,Bills,F,877569
173,"Ahmedabad, India",14-Oct-13,Platinum,Bills,F,450413
174,"Bengaluru, India",1-May-15,Signature,Bills,F,219041
175,"Bengaluru, India",31-Dec-14,Gold,Bills,F,866572
176,"Greater Mumbai, India",26-Mar-14,Signature,Bills,F,570791
177,"Ahmedabad, India",28-Apr-14,Silver,Bills,F,705464
178,"Greater Mumbai, India",6-Apr-14,Signature,Bills,F,806821
179,"Greater Mumbai, India",27-Mar-14,Platinum,Bills,F,515472
180,"Ahmedabad, India",23-Sep-14,Silver,Bills,F,352207
181,"Ahmedabad, India",4-Mar-15,Gold,Bills,F,342761
182,"Bengaluru, India",27-Feb-14,Signature,Bills,F,249099
183,"Ahmedabad, India",27-Aug-14,Platinum,Bills,F,995634
184,"Bengaluru, India",12-Dec-14,Signature,Bills,F,435097
185,"Ahmedabad, India",16-Jun-14,Platinum,Bills,F,797815
186,"Delhi, India",2-Jan-14,Gold,Bills,F,326922
187,"Bengaluru, India",11-Dec-14,Gold,Bills,F,396241
188,"Delhi, India",14-Dec-14,Gold,Bills,F,486949
189,"Greater Mumbai, India",17-Jan-14,Gold,Bills,F,333483
190,"Ahmedabad, India",5-Oct-13,Platinum,Bills,F,612572
191,"Bengaluru, India",18-Mar-15,Silver,Bills,F,327244
192,"Ahmedabad, India",4-Feb-14,Silver,Bills,F,955468
193,"Greater Mumbai, India",25-Feb-15,Gold,Bills,F,927864
194,"Delhi, India",28-Mar-14,Signature,Bills,F,555220
195,"Delhi, India",28-Dec-14,Silver,Bills,F,952640
196,"Ahmedabad, India",31-May-14,Silver,Bills,F,695749
197,"Greater Mumbai, India",22-Aug-14,Platinum,Bills,F,365724
198,"Greater Mumbai, India",3-Mar-15,Platinum,Bills,F,738108
199,"Ahmedabad, India",17-Jan-15,Platinum,Bills,F,650785
200,"Delhi, India",23-Oct-14,Signature,Bills,F,611486
201,"Bengaluru, India",5-Aug-14,Platinum,Bills,F,965721
202,"Ahmedabad, India",12-Oct-14,Gold,Bills,F,413052
203,"Ahmedabad, India",22-Jan-14,Silver,Bills,F,584822
204,"Ahmedabad, India",25-Mar-15,Gold,Bills,F,980146
205,"Ahmedabad, India",10-Oct-14,Signature,Bills,F,926072
206,"Delhi, India",16-Apr-14,Silver,Bills,F,482394
207,"Bengaluru, India",21-Feb-14,Signature,Bills,F,718346
208,"Bengaluru, India",24-Apr-14,Silver,Bills,F,491598
209,"Delhi, India",7-Sep-14,Platinum,Bills,F,848852
210,"Bengaluru, India",28-Dec-14,Gold,Bills,F,396139
211,"Ahmedabad, India",13-Oct-14,Signature,Bills,F,856974
212,"Ahmedabad, India",3-Apr-15,Signature,Bills,F,855990
213,"Delhi, India",16-Feb-15,Signature,Bills,F,924776
214,"Greater Mumbai, India",3-Apr-14,Signature,Bills,F,204850
215,"Delhi, India",3-Nov-13,Platinum,Bills,F,780669
216,"Greater Mumbai, India",17-Apr-14,Signature,Bills,F,887442
217,"Delhi, India",22-Jan-14,Signature,Bills,F,297820
218,"Delhi, India",14-Mar-15,Signature,Bills,F,687879
219,"Greater Mumbai, India",13-Oct-13,Silver,Bills,F,738456
220,"Delhi, India",24-Aug-14,Platinum,Bills,F,378535
221,"Greater Mumbai, India",9-May-15,Silver,Bills,F,334116
222,"Delhi, India",7-Jun-14,Silver,Bills,F,772360
223,"Ahmedabad, India",26-Nov-14,Gold,Bills,F,580796
224,"Greater Mumbai, India",21-Oct-14,Silver,Bills,F,855465
225,"Greater Mumbai, India",15-Jun-14,Gold,Bills,F,978989
226,"Ahmedabad, India",25-Apr-15,Gold,Bills,F,451874
227,"Ahmedabad, India",7-Sep-14,Silver,Bills,F,670750
228,"Bengaluru, India",19-May-15,Signature,Bills,F,977951
229,"Delhi, India",23-Feb-14,Platinum,Bills,F,403466
230,"Delhi, India",28-Oct-13,Signature,Bills,F,861177
231,"Ahmedabad, India",17-Dec-14,Gold,Bills,F,528612
232,"Ahmedabad, India",4-Dec-14,Signature,Bills,F,339670
233,"Delhi, India",18-Nov-13,Signature,Bills,F,963751
234,"Ahmedabad, India",30-Nov-14,Gold,Bills,F,761930
235,"Ahmedabad, India",21-Aug-14,Signature,Bills,F,852806
236,"Delhi, India",25-May-14,Signature,Bills,F,207755
237,"Greater Mumbai, India",19-Apr-15,Gold,Bills,F,489540
238,"Ahmedabad, India",25-Mar-14,Silver,Bills,F,274395
239,"Bengaluru, India",11-Feb-14,Platinum,Bills,F,566945
240,"Ahmedabad, India",9-Dec-14,Gold,Bills,F,705690
241,"Bengaluru, India",25-Mar-14,Gold,Bills,F,894888
242,"Greater Mumbai, India",2-Jan-14,Platinum,Bills,F,811899
243,"Greater Mumbai, India",25-Dec-14,Silver,Bills,F,677645
244,"Greater Mumbai, India",16-Oct-14,Platinum,Bills,F,326162
245,"Delhi, India",19-Apr-15,Platinum,Bills,F,316946
246,"Delhi, India",20-Jan-14,Platinum,Bills,F,622373
247,"Bengaluru, India",10-May-14,Signature,Bills,F,640653
248,"Ahmedabad, India",9-Jan-15,Signature,Bills,F,745493
249,"Delhi, India",31-Oct-13,Gold,Bills,F,868021
250,"Delhi, India",28-Nov-14,Platinum,Bills,F,284923
251,"Bengaluru, India",21-Jul-14,Platinum,Bills,F,814422
252,"Bengaluru, India",22-Apr-15,Gold,Bills,F,599741
253,"Ahmedabad, India",10-Jun-14,Platinum,Bills,F,804560
254,"Ahmedabad, India",17-Apr-15,Gold,Bills,F,996291
255,"Ahmedabad, India",9-Nov-13,Platinum,Bills,F,477553
256,"Delhi, India",2-Jan-15,Gold,Bills,F,216028
257,"Greater Mumbai, India",10-Mar-15,Signature,Bills,F,275427
258,"Delhi, India",22-Dec-13,Silver,Bills,F,722048
259,"Delhi, India",14-Feb-15,Silver,Bills,F,292365
260,"Ahmedabad, India",30-Jan-15,Silver,Bills,F,400393
261,"Greater Mumbai, India",1-Apr-14,Platinum,Bills,F,219720
262,"Delhi, India",15-Feb-15,Signature,Bills,F,981404
263,"Bengaluru, India",24-Nov-14,Signature,Bills,F,639670
264,"Bengaluru, India",7-Aug-14,Gold,Bills,F,814333
265,"Ahmedabad, India",17-Oct-13,Gold,Bills,F,569582
266,"Ahmedabad, India",25-May-14,Gold,Bills,F,954111
267,"Ahmedabad, India",16-May-14,Gold,Bills,F,635267
268,"Delhi, India",11-Oct-13,Gold,Bills,F,393651
269,"Ahmedabad, India",2-Jun-14,Platinum,Bills,F,572306
270,"Ahmedabad, India",6-Aug-14,Silver,Bills,F,407647
271,"Greater Mumbai, India",26-Jan-15,Gold,Bills,F,734396
272,"Delhi, India",2-Mar-15,Platinum,Bills,F,224414
273,"Ahmedabad, India",10-Sep-14,Signature,Bills,F,203194
274,"Greater Mumbai, India",22-Jan-15,Gold,Bills,F,250410
275,"Delhi, India",4-Apr-15,Silver,Bills,F,830697
276,"Greater Mumbai, India",16-May-14,Platinum,Bills,F,790800
277,"Greater Mumbai, India",22-Feb-14,Silver,Bills,F,638570
278,"Greater Mumbai, India",13-Aug-14,Silver,Bills,F,380409
279,"Greater Mumbai, India",1-Apr-14,Gold,Bills,F,601631
280,"Ahmedabad, India",8-Jan-14,Gold,Bills,F,690534
281,"Ahmedabad, India",5-Mar-15,Silver,Bills,F,423661
282,"Greater Mumbai, India",8-Dec-14,Silver,Bills,F,936294
283,"Bengaluru, India",29-Nov-14,Platinum,Bills,F,537050
284,"Delhi, India",8-Mar-15,Silver,Bills,F,899343
285,"Greater Mumbai, India",25-Nov-13,Platinum,Bills,F,834691
286,"Ahmedabad, India",13-Apr-15,Silver,Bills,F,240216
287,"Greater Mumbai, India",15-Apr-14,Signature,Bills,F,424370
288,"Delhi, India",13-Feb-15,Silver,Bills,F,593991
289,"Greater Mumbai, India",2-Oct-14,Signature,Bills,F,768467
290,"Delhi, India",7-Feb-15,Gold,Bills,F,781959
291,"Bengaluru, India",27-Dec-14,Platinum,Bills,F,553907
292,"Bengaluru, India",4-Aug-14,Platinum,Bills,F,308622
293,"Greater Mumbai, India",5-May-15,Signature,Bills,F,912334
294,"Delhi, India",28-Jan-15,Silver,Bills,F,586474
295,"Delhi, India",6-Apr-14,Gold,Bills,F,521237
296,"Delhi, India",30-Oct-13,Signature,Bills,F,446266
297,"Greater Mumbai, India",30-Sep-14,Platinum,Bills,F,511168
298,"Bengaluru, India",28-Dec-13,Signature,Bills,F,608438
299,"Delhi, India",18-Oct-14,Gold,Bills,F,973519
300,"Delhi, India",28-Nov-14,Platinum,Bills,F,688577
301,"Bengaluru, India",12-May-14,Silver,Bills,F,686619
302,"Greater Mumbai, India",6-Nov-14,Signature,Bills,F,255982
303,"Greater Mumbai, India",2-Mar-14,Signature,Bills,F,464656
304,"Delhi, India",19-Apr-15,Signature,Bills,F,212319
305,"Greater Mumbai, India",18-Apr-15,Platinum,Bills,F,307563
306,"Delhi, India",15-Apr-15,Silver,Bills,F,407564
307,"Bengaluru, India",12-Oct-14,Signature,Bills,F,331349
308,"Delhi, India",14-Apr-15,Silver,Bills,F,391325
309,"Ahmedabad, India",7-Oct-14,Silver,Bills,F,530244
310,"Greater Mumbai, India",16-Apr-14,Signature,Bills,F,668736
311,"Bengaluru, India",3-Dec-14,Gold,Bills,F,517448
312,"Ahmedabad, India",3-Aug-14,Platinum,Bills,F,788531
313,"Ahmedabad, India",17-Mar-14,Gold,Bills,F,474729
314,"Bengaluru, India",16-Jan-15,Platinum,Bills,F,590841
315,"Greater Mumbai, India",5-Jan-14,Platinum,Bills,F,608427
316,"Delhi, India",2-May-15,Silver,Bills,F,719835
317,"Delhi, India",30-Dec-13,Signature,Bills,F,375139
318,"Bengaluru, India",19-May-14,Platinum,Bills,F,229589
319,"Bengaluru, India",5-Jul-14,Signature,Bills,F,376453
320,"Delhi, India",10-Oct-13,Signature,Bills,F,360009
321,"Ahmedabad, India",3-Aug-14,Signature,Bills,F,770346
322,"Greater Mumbai, India",23-May-15,Signature,Bills,F,489043
323,"Bengaluru, India",11-Nov-14,Platinum,Bills,F,503037
324,"Greater Mumbai, India",11-Jan-14,Platinum,Bills,F,731261
325,"Ahmedabad, India",14-Feb-14,Signature,Bills,F,262755
326,"Greater Mumbai, India",16-Jul-14,Gold,Bills,F,825475
327,"Greater Mumbai, India",24-Feb-14,Platinum,Bills,F,922630
328,"Delhi, India",25-Sep-14,Gold,Bills,F,752172
329,"Ahmedabad, India",11-Jun-14,Gold,Bills,F,418009
330,"Delhi, India",7-Jun-14,Signature,Bills,F,994537
331,"Greater Mumbai, India",2-Aug-14,Silver,Bills,F,922206
332,"Greater Mumbai, India",21-May-14,Signature,Bills,F,389097
333,"Bengaluru, India",4-Apr-15,Signature,Bills,F,880778
334,"Greater Mumbai, India",3-Mar-15,Gold,Bills,F,327971
335,"Bengaluru, India",2-Mar-14,Signature,Bills,F,689201
336,"Bengaluru, India",17-May-15,Silver,Bills,F,792440
337,"Bengaluru, India",17-Mar-15,Signature,Bills,F,602222
338,"Ahmedabad, India",3-Sep-14,Platinum,Bills,F,502399
339,"Ahmedabad, India",17-Mar-14,Silver,Bills,F,272804
340,"Bengaluru, India",6-Jun-14,Platinum,Bills,F,613280
341,"Delhi, India",17-Oct-14,Signature,Bills,F,876491
342,"Bengaluru, India",25-Feb-14,Silver,Bills,F,820217
343,"Greater Mumbai, India",6-Sep-14,Signature,Bills,F,994184
344,"Ahmedabad, India",7-Dec-13,Platinum,Bills,F,515263
345,"Ahmedabad, India",28-Aug-14,Signature,Bills,F,338527
346,"Ahmedabad, India",16-Jun-14,Silver,Bills,F,934683
347,"Ahmedabad, India",7-Jul-14,Signature,Bills,F,454570
348,"Greater Mumbai, India",28-Jan-15,Gold,Bills,F,654519
349,"Ahmedabad, India",12-Jun-14,Gold,Bills,F,958047
350,"Bengaluru, India",3-Nov-13,Silver,Bills,F,465281
351,"Ahmedabad, India",31-Dec-13,Signature,Bills,F,653161
352,"Ahmedabad, India",14-Apr-14,Gold,Bills,F,307350
353,"Greater Mumbai, India",27-Aug-14,Silver,Bills,F,41002
354,"Bengaluru, India",3-Jan-14,Silver,Bills,F,34743
355,"Bengaluru, India",26-Sep-14,Signature,Bills,F,195589
356,"Bengaluru, India",10-Mar-14,Signature,Bills,F,204735
357,"Ahmedabad, India",14-May-14,Signature,Bills,F,118112
358,"Greater Mumbai, India",12-Dec-13,Platinum,Bills,F,61572
359,"Delhi, India",25-Feb-15,Gold,Bills,F,274938
360,"Greater Mumbai, India",21-Feb-14,Signature,Bills,F,43854
361,"Delhi, India",27-Apr-14,Gold,Bills,F,8798
362,"Greater Mumbai, India",8-May-15,Gold,Bills,F,192241
363,"Bengaluru, India",10-Apr-14,Silver,Bills,F,128164
364,"Delhi, India",28-Apr-14,Signature,Bills,F,249061
365,"Greater Mumbai, India",29-Jan-14,Gold,Bills,F,275283
366,"Greater Mumbai, India",3-Jan-14,Platinum,Bills,F,172194
367,"Ahmedabad, India",13-May-15,Gold,Bills,F,13162
368,"Bengaluru, India",5-Feb-15,Platinum,Bills,F,3427
369,"Bengaluru, India",7-Jan-15,Gold,Bills,F,171374
370,"Delhi, India",19-Feb-15,Signature,Bills,F,286251
371,"Ahmedabad, India",19-Oct-14,Platinum,Bills,F,123417
372,"Delhi, India",3-Dec-13,Silver,Bills,F,81088
373,"Ahmedabad, India",26-Oct-14,Signature,Bills,F,64113
374,"Bengaluru, India",27-Mar-14,Platinum,Bills,F,54374
375,"Ahmedabad, India",18-Mar-15,Signature,Bills,F,175515
376,"Delhi, India",25-Nov-13,Gold,Bills,F,78773
377,"Bengaluru, India",25-Jun-14,Signature,Bills,F,143515
378,"Delhi, India",22-Nov-14,Silver,Bills,F,263613
379,"Greater Mumbai, India",22-Apr-15,Platinum,Bills,F,265434
380,"Delhi, India",3-Jun-14,Signature,Bills,F,87839
381,"Delhi, India",16-Jun-14,Signature,Bills,F,60905
382,"Delhi, India",9-Apr-15,Platinum,Bills,F,199726
383,"Delhi, India",20-Jan-15,Silver,Bills,F,267896
384,"Ahmedabad, India",31-Dec-13,Gold,Bills,F,198937
385,"Greater Mumbai, India",2-Oct-14,Gold,Bills,F,90745
386,"Greater Mumbai, India",24-Jul-14,Silver,Bills,F,86676
387,"Greater Mumbai, India",8-May-15,Platinum,Bills,F,163574
388,"Greater Mumbai, India",27-Apr-15,Signature,Bills,F,2138
389,"Bengaluru, India",11-Jun-14,Silver,Bills,F,253749
390,"Delhi, India",6-Jun-14,Platinum,Bills,F,60187
391,"Bengaluru, India",3-Mar-15,Platinum,Bills,F,15566
392,"Greater Mumbai, India",11-Jul-14,Signature,Bills,F,242144
393,"Delhi, India",17-Mar-14,Platinum,Bills,F,114049
394,"Bengaluru, India",17-Mar-14,Gold,Bills,F,100992
395,"Delhi, India",3-Mar-14,Silver,Bills,F,173017
396,"Greater Mumbai, India",7-Jun-14,Gold,Bills,F,279567
397,"Delhi, India",28-Dec-13,Signature,Bills,F,25016
398,"Delhi, India",11-Nov-13,Silver,Bills,F,157982
399,"Bengaluru, India",17-May-14,Signature,Bills,F,240387
400,"Delhi, India",31-Aug-14,Platinum,Bills,F,134030
401,"Bengaluru, India",26-Jan-15,Gold,Bills,F,108651
402,"Delhi, India",17-Jan-14,Gold,Bills,F,138617
403,"Bengaluru, India",27-Jan-14,Signature,Bills,F,98963
404,"Delhi, India",24-Dec-13,Silver,Bills,F,25486
405,"Delhi, India",3-Mar-15,Gold,Bills,F,231140
406,"Ahmedabad, India",22-Oct-13,Gold,Bills,F,20032
407,"Greater Mumbai, India",14-Jan-15,Gold,Bills,F,293938
408,"Delhi, India",11-Jan-14,Silver,Bills,F,88175
409,"Ahmedabad, India",7-Feb-15,Platinum,Bills,F,105297
410,"Delhi, India",8-Oct-13,Platinum,Bills,F,129169
411,"Greater Mumbai, India",14-Aug-14,Signature,Bills,F,172386
412,"Greater Mumbai, India",9-May-15,Platinum,Bills,F,46369
413,"Greater Mumbai, India",2-Apr-14,Silver,Bills,F,158636
414,"Delhi, India",26-Nov-14,Signature,Bills,F,87219
415,"Delhi, India",16-Nov-14,Gold,Bills,F,183445
416,"Bengaluru, India",27-Jun-14,Silver,Bills,F,147977
417,"Ahmedabad, India",19-Nov-14,Platinum,Bills,F,243279
